"","Macrozone","Elevation","Max Temperature","Temperature Range","Total Precipitation","Daylength"
"1",0,1109,29,11,86,720
"2",1,1312,27,10,107,720
"3",2,884,28,10,93,720
"4",3,798,26,6,151,720
"5",4,1484,24,9,148,720
"6",5,1052,28,7,119,720
"7",6,1205,29,11,72,720
"8",7,1188,28,10,74,720
"9",8,1707,26,11,155,720
"10",9,2321,22,11,177,720
"11",10,2161,25,11,146,720
"12",11,1776,25,10,110,720
"13",12,1662,27,12,65,720
"14",13,1312,29,10,56,720
"15",14,985,32,11,62,720
"16",15,1127,30,11,134,720
"17",16,1024,33,12,91,720
"18",17,461,36,12,35,720
"19",18,493,33,10,45,720
"20",19,1037,32,12,44,720
"21",20,938,30,10,42,720
"22",21,238,33,10,33,720
"23",22,615,33,10,35,720
"24",23,143,30,7,76,720
"25",24,406,30,10,82,720
